Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 2032503  Y 1596303
X 2040003  Y 1620053
X 2022003  Y 1620303
X 2024003  Y 1621803
X 2040003  Y 1622803
X 2022003  Y 1623303
X 2019753  Y 1641303

Drill: .01969  Tool: 3  Feed: 95  Speed: 300
X 1902828  Y 1612303 X 1899679  Y 1612303

Drill: .02362  Tool: 4  Feed: 197  Speed: 550
X 1901253  Y 1622145

Drill: .03543  Tool: 5  Feed: 197  Speed: 550
X 2035003  Y 1520303
X 2035003  Y 1530303
X 2035003  Y 1540303
X 2032003  Y 1557866
X 2032003  Y 1565740

End of Listing
